PredictedFactor,Frequency,InfluenceLevel,Definition,Sowhat?Assumption,Plausibility(plausible/notplausible),Why?reasonforplausibility,Relevance:willitberelevantfortheproblem?,Why?relevancereasoning,Hazard?coulditturnintoahazard?,Whyorhowcanitbehazardous?,,
own_aircraft_pilot_decision_making_process,11,0.049107143," The process through which the pilot of the aircraft makes decisions based on various inputs, including alerts from the AVP system, situation awareness, and environmental conditions.","The pilot will never over-rely on the perception system’s judgement, maintaining their normal vigilance during flight.",Not plausible,"When the system demonstrates reliable results, pilots will eventually trust it more and more, leading to over trust.",Relevant,"Directly impacting flight safety, as over-reliance on the system could reduce the pilot's vigilance and situational awareness.",Yes,"Over-reliance on the system can reduce pilot vigilance, potentially leading to slower reactions in unexpected situations.",,
stabilised_own_aircraft_dynamics,11,0.049107143, The likelihood or probability of the aircraft colliding with another object.,The AVP system will accurately assess and communicate the risk of potential collisions.,Not plausible,Assessing collision risk involves complex calculations that can be affected by various uncertainties and limitations in data.,Relevant,It is crucial to inform the pilot and AVP system’s decision-making processes to prevent collisions.,Yes,"Underestimating collision risk can lead to inadequate preventative actions, increasing collision likelihood.",,
avp,10,0.044642857, A system designed to enhance the pilot's awareness and decision-making process by providing alerts and recommendations based on the surrounding environment and potential threats.,The AVP system will always provide timely and accurate alerts and recommendations to the pilot.,Not plausible,"System limitations, delays, and potential malfunctions could affect the timeliness and accuracy of alerts and recommendations.",Relevant,Critical for the pilot’s decision-making and ensuring timely response to potential threats.,Yes,"Delays or inaccuracies in alerts can lead to incorrect responses to threats, jeopardising flight safety.",,
intruder_aircraft_position,10,0.044642857," The location of an aircraft that is not part of the own aircraft's fleet, potentially posing a collision risk.",The position of the intruder aircraft will always be accurately detected and tracked by the AVP system.,Not plausible,"Detection systems may have limitations and may not always accurately detect or track intruder aircraft, especially in challenging conditions.",Relevant,It is crucial for collision avoidance; inaccurate detection could lead to failure in preventing collisions.,Yes,"Inaccurate detection can fail to avoid collisions, directly risking flight safety.",,
own_aircraft_pilot_situation_awareness,8,0.035714286, The pilot’s understanding and perception of the current situation and environment around the aircraft.,"The pilot will maintain high situational awareness at all times, regardless of the complexity of the flight environment.",Not plausible,"Situational awareness can degrade due to high workload, stress, or over-reliance on automated systems.",Relevant,High situational awareness is vital for effective decision-making and safe flight operations.,Yes,"Degraded situational awareness can lead to poor decision-making and slow responses to emerging threats, increasing the risk of incidents.",,
avoidance_strategy_recommendation,7,0.03125, Suggestions provided by the AVP system to the pilot on how to maneuver the aircraft to avoid potential collisions.,The AVP system will always provide accurate and timely avoidance strategy recommendations.,Not plausible,"System limitations, data processing delays, and unforeseen scenarios can affect the accuracy and timeliness of recommendations.",Relevant,"Critical for the pilot’s decision-making and immediate response to collision threats, directly impacting flight safety.",Yes,"Incorrect recommendations can lead to inappropriate manoeuvres, increasing collision risk.",,
own_aircraft_flight_path,7,0.03125, The trajectory or route that the own aircraft is following or plans to follow.,The aircraft will always follow the planned flight path unless instructed otherwise by ATC or the AVP system.,Plausible,"Modern flight management systems ensure adherence to planned flight paths, although deviations may occur due to unforeseen circumstances.",Relevant,Crucial for maintaining safe separation from other aircraft and ensuring efficient navigation and collision avoidance.,Yes,Deviation from the flight path can lead to unexpected conflicts with other aircraft.,,
surrounding_airspace_safety,7,0.03125," The safety status of the airspace around the aircraft, including the presence of other aircraft and environmental conditions.","The surrounding airspace will always be monitored effectively, ensuring up-to-date and accurate information.",Plausible,"Current aviation systems and ATC provide robust airspace monitoring, although limitations in detection and communication can exist.",Relevant,"Essential for collision avoidance and situational awareness, impacting decision-making and safety manoeuvres.",Yes,Inaccurate or delayed information can lead to missed collision threats.,,
visual_information,7,0.03125," Data collected from visual sensors like cameras, providing imagery or video of the aircraft's surroundings.",The visual information will always be clear and free from obstructions or environmental interference.,Not plausible,"Weather conditions, lighting, and sensor limitations can impact the quality and clarity of visual information.",Relevant,"Vital for accurate detection and assessment of potential threats, contributing to the overall situational awareness.",Yes,Poor visual information can lead to missed or incorrect identification of threats.,,
collision_avoidance_system,6,0.026785714, An onboard system designed to prevent collisions by detecting and alerting pilots of potential threats.,The collision avoidance system will continuously detect potential collision threats accurately and promptly.,Not plausible,"System limitations, technical failures, and unforeseen scenarios can impact the effectiveness of the collision avoidance system.",Relevant,Critical for ensuring flight safety and preventing mid-air collisions by providing timely alerts and recommendations to pilots.,Yes,Failure to detect threats can lead to collisions.,,
